Magnitude,amax,Liq,Avg Depth,Depth to GWT,sigvc,sig'vc,Tip,Sleeve,Friction,n,Q,I c,PI,Lab FC,I c est. FC,Repr. FC,C N,qc1N,Iqc1N,"qc1N,cs",rd,CSR,K sigma,MSF,"CSR for M=7.5,sig=1"
6.9,0.45,1,3.7,1.6,67,47,25,0.1,0.41,0.5,35.7,2.09,0,,30,30,1.52,38,43.1,81.1,0.96,0.406,1.07,1.04,0.365
6.9,0.5,1,5.2,2,95,64,29.6,0.13,0.44,0.5,36.1,2.1,0,,31,31,1.29,38,44,82,0.94,0.456,1.04,1.04,0.421
6.9,0.5,0,4.1,3,73,62,128,3.7,2.91,0.5,162.6,2.1,0,,31,31,1.16,149,67.3,216.3,0.96,0.365,1.1,1.26,0.264
7.51,0.37,1,1.6,0.5,30,19,9.4,0.04,0.46,0.5,21.1,2.32,1,5,49,5,1.7,15.9,0.1,16.1,0.99,0.376,1.08,1,0.347
7.51,0.37,1,1.8,1,33,25,12.8,0.15,1.2,0.5,25.2,2.44,1,16,58,16,1.7,21.8,18.6,40.5,0.99,0.314,1.09,1,0.288
7.51,0.4,1,2.3,1,42,29,11.4,0.21,1.95,0.7,25.9,2.55,1,12,67,12,1.7,19.3,9.6,28.9,0.99,0.368,1.07,1,0.344
7.51,0.37,1,3.6,1,67,41,54,0.23,0.43,0.5,83.5,1.77,1,9,4,9,1.59,86.1,4.9,91,0.98,0.38,1.09,1,0.349
7.51,0.4,1,3.8,3.3,68,63,62,0.32,0.52,0.5,77.9,1.84,0,35,10,35,1.23,76.4,56.2,132.5,0.97,0.273,1.07,1,0.257
7.51,0.4,1,3.7,0.4,69,37,29,0.23,0.81,0.5,46.5,2.13,0,35,33,35,1.65,47.9,49.8,97.7,0.98,0.47,1.1,1,0.428
7.51,0.4,1,2.2,1.5,39,32,12.5,0.07,0.59,0.5,21.5,2.36,0,65,52,65,1.7,21.3,55.8,77.2,0.99,0.308,1.1,1,0.28
7.51,0.4,1,2.3,0.5,42,25,20,0.08,0.41,0.5,39.7,2.05,0,2,27,2,1.7,34.1,0,34.1,0.99,0.436,1.09,1,0.401
7.51,0.4,1,2.4,0.5,45,26,33.2,0.1,0.3,0.5,64.4,1.8,0,42,7,42,1.7,56.4,56.8,113.2,0.99,0.44,1.1,1,0.401
7.51,0.4,1,2.1,0.5,39,23,24.9,0.08,0.32,0.5,51.4,1.9,0,65,15,65,1.7,42.3,61.8,104.1,0.99,0.439,1.1,1,0.4
7.51,0.4,1,2.5,1.7,45,37,26,0.15,0.59,0.5,42,2.1,0,15,31,15,1.7,44.1,18.3,62.5,0.99,0.311,1.08,1,0.288
7.51,0.4,1,2.5,0.6,46,28,15,0.13,0.87,0.5,27.7,2.34,3,82,50,82,1.7,25.5,59.9,85.4,0.99,0.428,1.1,1,0.39
7.51,0.4,1,2.2,1.7,38,34,71.1,0.7,0.99,0.5,122.5,1.84,0,12,10,12,1.62,115.3,14.4,129.6,0.99,0.291,1.1,1,0.265
7.51,0.4,0,3.2,2.5,57,50,78,0.88,1.13,0.5,110.3,1.91,0,12,16,12,1.38,107.6,14,121.6,0.98,0.29,1.09,1,0.266
7.51,0.3,1,4.9,0.8,92,51,52.3,0.24,0.47,0.5,72.4,1.84,0,11,10,11,1.44,75.5,9.6,85.1,0.96,0.338,1.07,1,0.317
7.62,0.38,1,2.5,1,46,31,20,0.2,1.02,0.5,35.3,2.28,0,38,46,38,1.7,34,48.8,82.8,0.99,0.36,1.1,0.99,0.33
7.62,0.38,1,3.5,1,65,40,11,0.06,0.58,0.5,16.5,2.46,0,,60,60,1.69,18.6,53.9,72.5,0.98,0.39,1.08,0.99,0.364
7.62,0.38,1,7,1,131,72,27.2,0.56,2.16,0.5,30.7,2.52,0,,65,65,1.19,32.5,58.9,91.4,0.94,0.423,1.03,0.99,0.413
7.62,0.6,1,3,1.1,55,36,30,0.3,1.02,0.5,49,2.16,0,35,36,35,1.66,49.9,50.2,100.1,0.98,0.578,1.1,0.99,0.531
7.62,0.6,1,4.5,1.2,83,51,35,0.7,2.05,0.5,48.2,2.35,0,14,51,14,1.49,52.2,16.4,68.6,0.97,0.619,1.06,0.99,0.589
7.62,0.25,1,4.5,0.7,84,46,30,0.38,1.3,0.5,43.1,2.27,0,,45,45,1.48,44.3,55.3,99.6,0.97,0.286,1.08,0.99,0.266
7.62,0.25,1,5,0.6,94,50,20,0.2,1.05,0.5,27.1,2.39,0,,54,54,1.46,29.1,55.1,84.2,0.96,0.293,1.07,0.99,0.276
7.62,0.25,1,3.5,1.1,64,41,27,0.12,0.46,0.5,41.3,2.05,0,,27,27,1.62,43.7,40.7,84.5,0.98,0.249,1.08,0.99,0.231
7.62,0.25,1,6.5,1.2,121,69,38,0.23,0.62,0.5,44.5,2.09,0,,30,30,1.22,46.4,44.5,90.9,0.95,0.27,1.04,0.99,0.263
7.62,0.25,1,5.5,3.5,98,79,20,0.2,1.05,0.5,21.5,2.47,0,,61,61,1.15,23,55.3,78.3,0.96,0.195,1.02,0.99,0.192
7.62,0.25,1,6,0.7,112,61,34,0.21,0.64,0.5,42.5,2.11,0,,32,32,1.31,44.4,46,90.4,0.95,0.287,1.05,0.99,0.275
7,0.187,0,4.8,2,88,61,37,0.07,0.19,0.5,46.5,1.87,0,,4,4,1.38,51.1,0,51.1,0.95,0.167,1.04,1.02,0.158
6.2,0.347,1,4.8,2,88,61,37,0.07,0.19,0.5,46.5,1.87,0,,4,4,1.38,51.1,0,51.1,0.93,0.303,1.04,1.06,0.276
7,0.183,0,3.7,1.7,66,48,69,0.44,0.64,0.5,99.1,1.8,0,,7,7,1.45,99.9,1.3,101.2,0.97,0.158,1.08,1.05,0.14
6.2,0.396,1,3.7,1.7,66,48,69,0.44,0.64,0.5,99.1,1.8,0,,7,7,1.45,99.9,1.3,101.2,0.95,0.336,1.08,1.14,0.274
7,0.167,1,7.3,1.3,138,80,73.7,0.44,0.61,0.5,81.3,1.85,0,,4,4,1.14,83.7,0,83.8,0.91,0.171,1.02,1.03,0.162
6.2,0.323,1,7.3,1.3,138,80,73.7,0.44,0.61,0.5,81.3,1.85,0,,4,4,1.14,83.7,0,83.8,0.88,0.318,1.02,1.1,0.284
7,0.219,0,5.5,1.4,104,64,120.9,0.69,0.58,0.5,151.2,1.62,0,,0,0,1.21,146.3,0,146.3,0.94,0.218,1.07,1.11,0.183
6.2,0.46,1,5.5,1.4,104,64,120.9,0.69,0.58,0.5,151.2,1.62,0,,0,0,1.21,146.3,0,146.3,0.91,0.446,1.07,1.32,0.315
7,0.199,1,3.8,1.8,67,48,28,0.19,0.69,0.5,39.8,2.15,0,,24,24,1.51,42.3,36.4,78.7,0.96,0.173,1.07,1.03,0.157
6.2,0.382,1,3.8,1.8,67,48,28,0.19,0.69,0.5,39.8,2.15,0,,24,24,1.51,42.3,36.4,78.7,0.95,0.327,1.07,1.09,0.281
7,0.237,1,5.2,1,100,58,82.1,0.31,0.39,0.5,107.1,1.65,0,,3,3,1.31,107.5,0,107.5,0.94,0.249,1.06,1.05,0.223
6.2,0.188,0,5.2,1,100,58,82.1,0.31,0.39,0.5,107.1,1.65,0,,3,3,1.31,107.5,0,107.5,0.92,0.193,1.06,1.15,0.157
7,0.227,1,3.6,2,66,50,37.8,0.17,0.46,0.5,53,1.96,0,,8,8,1.54,58,2.6,60.6,0.97,0.189,1.06,1.02,0.175
6.2,0.183,1,3.6,2,66,50,37.8,0.17,0.46,0.5,53,1.96,0,,8,8,1.54,58,2.6,60.6,0.95,0.15,1.06,1.07,0.133
7,0.239,1,1.9,0.9,34,25,28.9,0.1,0.33,0.5,58,1.86,0,,9,9,1.7,49.1,4.8,53.9,0.99,0.212,1.1,1.02,0.189
6.2,0.186,0,1.9,0.9,34,25,28.9,0.1,0.33,0.5,58,1.86,0,,9,9,1.7,49.1,4.8,53.9,0.98,0.164,1.1,1.06,0.141
7,0.234,1,3.7,0.8,70,42,77.5,0.41,0.53,0.5,119.9,1.68,0,,2,2,1.51,117.1,0,117.1,0.97,0.247,1.1,1.06,0.211
6.2,0.187,0,3.7,0.8,70,42,77.5,0.41,0.53,0.5,119.9,1.68,0,,2,2,1.51,117.1,0,117.1,0.95,0.194,1.1,1.19,0.149
7,0.216,1,4.8,0.5,92,50,93.3,0.58,0.63,0.5,131,1.69,0,,0,0,1.36,127.3,0,127.3,0.95,0.245,1.09,1.08,0.208
6.2,0.186,0,4.8,0.5,92,50,93.3,0.58,0.63,0.5,131,1.69,0,,0,0,1.36,127.3,0,127.3,0.93,0.207,1.09,1.23,0.154
7,0.231,1,6.5,1.5,122,74,78.5,0.33,0.43,0.5,90.6,1.74,0,,3,3,1.18,92.6,0,92.6,0.92,0.23,1.03,1.04,0.215
6.2,0.181,1,2,1.5,34,30,25.1,0.14,0.56,0.5,45.6,2.05,0,,22,22,1.7,42.7,32.4,75.1,0.98,0.132,1.1,1.08,0.111
7,0.231,1,2.6,1.4,47,35,41.7,0.14,0.34,0.5,69.9,1.79,0,,5,5,1.7,70.9,0.1,71,0.98,0.195,1.09,1.03,0.174
6.2,0.182,1,2.6,1.4,47,35,41.7,0.14,0.34,0.5,69.9,1.79,0,,5,5,1.7,70.9,0.1,71,0.97,0.152,1.09,1.08,0.13
7,0.204,1,2,1.3,35,29,23.9,0.13,0.56,0.5,44.2,2.07,0,,20,20,1.7,40.6,29.5,70.1,0.99,0.161,1.1,1.03,0.143
6.2,0.186,1,2,1.3,35,29,23.9,0.13,0.56,0.5,44.2,2.07,0,,20,20,1.7,40.6,29.5,70.1,0.98,0.146,1.1,1.08,0.123
7,0.211,1,2.6,1.2,47,34,39,0.23,0.6,0.5,67,1.92,0,,10,10,1.7,66.4,7.2,73.6,0.98,0.187,1.1,1.03,0.166
6.2,0.186,1,2.6,1.2,47,34,39,0.23,0.6,0.5,67,1.92,0,,10,10,1.7,66.4,7.2,73.6,0.97,0.164,1.1,1.08,0.138
7,0.211,1,4.3,1.6,79,53,45.9,0.15,0.33,0.5,62.4,1.83,0,,6,6,1.46,67,0.4,67.4,0.96,0.196,1.05,1.03,0.181
6.2,0.172,1,4.3,1.6,79,53,45.9,0.15,0.33,0.5,62.4,1.83,0,,6,6,1.46,67,0.4,67.4,0.94,0.157,1.05,1.07,0.139
7,0.224,1,2.3,1.9,41,36,35.2,0.12,0.35,0.5,57.9,1.87,0,,8,8,1.7,59.8,2.2,62,0.98,0.16,1.08,1.02,0.144
6.2,0.177,1,2.3,1.9,41,36,35.2,0.12,0.35,0.5,57.9,1.87,0,,8,8,1.7,59.8,2.2,62,0.97,0.125,1.08,1.07,0.109
7,0.17,1,3.6,2,66,50,53.7,0.34,0.65,0.5,75.6,1.9,0,,9,9,1.47,78.7,4.8,83.5,0.97,0.141,1.07,1.03,0.128
6.2,0.351,1,3.6,2,66,50,53.7,0.34,0.65,0.5,75.6,1.9,0,,9,9,1.47,78.7,4.8,83.5,0.95,0.287,1.07,1.1,0.245
7,0.17,1,5.8,2,107,70,48.6,0.25,0.53,0.5,57,1.96,0,,12,12,1.23,59.8,11.6,71.5,0.93,0.157,1.03,1.03,0.149
6.2,0.354,1,5.8,2,107,70,48.6,0.25,0.53,0.5,57,1.96,0,,12,12,1.23,59.8,11.6,71.5,0.91,0.318,1.03,1.08,0.287
7,0.168,1,8.6,2.4,162,101,60.2,0.32,0.54,0.5,58.7,1.95,0,,11,11,1,60.4,10.1,70.4,0.89,0.155,1,1.03,0.151
6.2,0.346,1,8.6,2.4,162,101,60.2,0.32,0.54,0.5,58.7,1.95,0,,11,11,1,60.4,10.1,70.4,0.84,0.304,1,1.08,0.283
7,0.183,0,4.5,2.3,81,60,23.8,0.01,0.03,0.5,29.8,2.01,0,,7,7,1.45,34.4,0.9,35.3,0.95,0.154,1.03,1.02,0.146
6.2,0.339,1,4.5,2.3,81,60,23.8,0.01,0.03,0.5,29.8,2.01,0,,7,7,1.45,34.4,0.9,35.3,0.93,0.279,1.03,1.05,0.257
